,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-6806-3p,4,6,5,84,3,2,70,25,8,4,39,34,3,4,43,118
miR-6806-5p,28,41,44,444,71,42,721,368,19,36,460,142,46,14,472,864
miR-6807-3p,26,17,20,373,43,19,173,112,19,20,114,53,41,8,80,443
miR-6807-5p,26,24,104,1140,20,17,66,170,13,30,54,247,20,16,233,230
miR-6808-5p,215,336,426,813,272,167,1417,1016,102,223,1093,298,438,140,36661,9845
miR-6809-3p,17,5,11,126,21,16,18,36,17,25,28,46,29,6,17,110
miR-6809-5p,41,46,45,127,33,18,63,56,40,25,62,58,29,19,83,112
miR-6810-3p,34,26,36,282,23,26,44,69,39,39,85,77,40,15,123,200
miR-6810-5p,14,22,34,176,16,17,45,82,11,13,79,57,19,5,135,225
miR-6811-3p,23,18,25,285,19,14,64,63,19,16,28,61,20,10,40,262
miR-6811-5p,62,34,16,136,365,16,601,635,58,163,561,51,288,5,388,751
miR-6812-5p,87,55,51,293,86,100,76,142,70,64,102,139,78,69,462,431
miR-6813-3p,55,31,25,515,49,17,57,112,51,42,42,72,47,14,24,399
miR-6813-5p,7,6,15,81,9,4,18,29,13,7,22,43,13,8,73,130
miR-6814-3p,23,8,12,147,72,6,159,146,25,35,109,72,53,4,98,328
miR-6814-5p,44,22,17,97,61,10,76,110,30,34,81,56,53,11,120,174
miR-6815-3p,9,6,5,78,3,2,9,19,12,4,7,24,3,3,5,91
miR-6815-5p,13,13,10,179,27,20,113,181,21,29,51,46,37,3,108,338
miR-6816-3p,118,39,31,304,881,28,6185,2839,91,301,4885,83,814,9,3826,4094
miR-6817-3p,6,2,7,63,9,6,14,15,6,6,5,44,2,2,10,71
miR-6817-5p,3,5,12,45,3,5,8,9,4,4,1,55,5,4,2,65
miR-6818-3p,4,1,2,74,1,2,9,10,5,6,6,23,5,2,3,92
miR-6818-5p,7,4,5,50,3,3,9,12,6,3,3,27,4,1,3,68
miR-6819-3p,96,90,128,800,127,53,119,487,94,151,152,135,128,52,211,1129
miR-6819-5p,61,51,47,213,44,47,136,125,56,47,164,97,58,34,478,521
miR-6820-3p,8,5,8,177,20,5,52,47,9,10,33,34,14,1,21,159
miR-6821-3p,174,59,181,350,1804,62,5892,4383,172,475,5250,161,1623,34,3976,5540
miR-6821-5p,208,277,366,672,173,132,190,590,173,258,251,512,191,87,360,940
miR-6822-3p,7,4,6,62,7,4,8,12,15,2,4,46,5,2,1,49
miR-6822-5p,8,8,28,76,5,6,71,40,10,10,37,48,11,9,100,153
miR-6823-3p,11,10,12,192,31,6,27,39,16,14,25,42,25,6,21,135
miR-6823-5p,5,0,6,33,3,1,9,12,7,1,5,43,5,1,20,65
miR-6824-5p,105,106,87,310,74,89,123,196,79,81,142,121,100,34,2587,430
miR-6825-3p,157,80,143,631,1116,45,3793,3507,135,354,3955,145,1009,11,2724,3945
miR-6825-5p,17,12,6,160,23,14,47,67,13,23,19,35,18,12,91,169
miR-6826-5p,1,2,2,56,4,2,158,44,11,3,89,23,6,0,131,201
miR-6827-3p,15,12,16,218,29,15,38,56,14,28,30,55,20,8,25,224
miR-6827-5p,24,33,61,111,18,16,33,60,21,27,28,45,27,14,13,123
miR-6828-3p,15,4,6,41,20,1,141,35,17,23,105,16,20,2,63,134
miR-6828-5p,15,13,20,91,4,7,61,33,20,4,34,36,7,4,38,109
miR-6829-5p,20,29,61,204,16,22,153,122,34,24,153,54,42,11,180,215
miR-6830-3p,5,6,2,37,1,8,7,10,5,6,6,21,4,1,3,52
miR-6830-5p,45,55,52,183,33,37,109,125,30,33,105,68,58,17,481,447
miR-6831-3p,3,2,3,65,4,5,4,9,11,4,4,30,3,1,4,62
miR-6831-5p,14,12,16,75,14,9,19,19,8,7,12,58,8,6,132,136
miR-6832-3p,4,2,5,59,6,3,7,13,10,5,2,28,6,3,0,42
miR-6832-5p,7,1,2,24,1,3,18,4,7,1,7,26,8,0,11,62
miR-6833-3p,7,4,7,130,3,5,9,9,9,4,3,30,7,5,3,75
miR-6833-5p,8,13,15,86,10,9,28,37,6,10,17,44,17,3,144,122
miR-6834-3p,12,10,3,242,8,7,26,34,18,6,14,43,9,7,13,154
miR-6834-5p,5,9,9,204,4,12,13,41,8,4,15,33,6,1,6,198
miR-6835-3p,5,0,6,77,3,2,6,11,2,3,2,37,7,2,1,70
miR-6835-5p,6,17,10,37,6,8,30,39,9,7,19,35,4,5,27,90
miR-6836-5p,74,105,290,859,452,77,3484,2392,63,181,3317,175,540,57,2526,3426
miR-6837-3p,7,4,7,97,16,10,40,20,7,7,24,41,6,3,8,125
miR-6837-5p,40,125,357,698,56,56,544,603,64,98,613,186,138,23,220,554
miR-6838-3p,19,1,10,208,240,5,3484,1576,14,57,2595,52,282,1,2377,2451
miR-6839-5p,7,3,5,66,15,5,23,24,5,7,11,24,18,0,15,61
miR-6840-3p,7,6,8,85,29,10,63,50,14,16,53,30,21,2,451,322
miR-6840-5p,13,9,11,80,17,5,29,47,23,24,35,44,17,4,31,122
miR-6841-3p,11,9,10,138,16,6,41,37,20,11,16,34,10,8,22,152
miR-6841-5p,4,2,2,52,14,0,24,28,11,9,6,20,12,3,10,65
miR-6842-3p,22,7,10,144,279,8,2703,1744,20,55,2079,59,299,2,1983,2339
