,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-216a-5p,18,8,8,137,31,8,107,58,12,33,77,57,34,8,57,197
miR-216b-3p,3,5,2,28,2,3,3,8,7,0,2,36,2,1,1,58
miR-216b-5p,7,1,4,228,8,6,31,10,11,6,9,28,4,2,19,145
miR-217,167,86,57,223,181,91,381,191,153,191,255,220,121,68,230,411
miR-218-1-3p,65,23,33,273,631,16,3866,1759,71,130,3318,74,563,5,2295,3018
miR-218-2-3p,38,13,15,213,68,17,236,131,41,54,140,88,64,4,127,340
miR-218-5p,95,37,51,74,67,31,36,18,100,95,88,36,84,32,18,55
miR-219a-1-3p,5,1,7,87,5,1,40,30,1,4,12,37,9,1,17,142
miR-219a-2-3p,3,1,4,21,1,1,4,11,8,0,1,33,4,1,2,64
miR-219b-3p,2,1,6,19,2,2,8,10,7,5,1,26,7,0,2,50
miR-221-3p,10989,15484,8982,5291,5306,6910,3556,5123,13086,11257,10956,1544,10606,8735,5007,1047
miR-221-5p,60,82,81,77,33,42,38,41,86,94,59,37,58,66,9,57
miR-222-3p,6050,5500,8888,8820,3112,3019,3793,5226,8400,6211,15474,1801,5622,5244,5001,1130
miR-222-5p,76,174,404,416,38,94,204,84,110,74,255,72,124,103,15,148
miR-223-3p,154,2676,90,290,106,200,44,37,264,85,31,67,131,83,11,86
miR-223-5p,12,4,9,137,10,5,7,19,18,8,5,33,9,6,1,85
miR-22-3p,8823,9129,2868,2695,8897,4292,16476,11956,8113,9043,16127,710,10840,5655,10195,13549
miR-224-3p,13,16,14,35,4,3,4,22,13,9,9,23,9,4,6,62
miR-224-5p,270,671,239,179,176,285,565,234,245,531,369,68,285,579,352,406
miR-22-5p,737,1070,308,329,401,402,204,636,858,744,605,117,635,333,216,263
miR-2276-3p,27,21,29,263,29,19,105,113,30,19,62,65,27,12,49,206
miR-2276-5p,26,14,22,230,110,19,252,253,18,58,234,54,75,8,173,449
miR-2278,3,6,17,69,12,3,2,18,12,3,7,36,8,5,4,90
miR-2355-3p,5,6,5,31,5,5,9,8,3,6,5,17,7,0,3,62
miR-2355-5p,8,20,3,32,10,8,20,17,12,13,18,31,14,7,6,79
miR-2392,39,30,24,130,29,28,54,74,35,23,61,64,22,26,689,384
miR-23a-3p,9332,8476,4510,2335,4229,5147,2556,4537,9209,9534,2834,2467,7128,6435,1150,940
miR-23a-5p,69,26,54,90,69,40,28,65,77,68,45,48,43,31,116,119
miR-23b-3p,6881,5986,2525,1719,3511,3422,2053,3417,7059,7084,2287,1609,5348,3572,889,796
miR-23b-5p,4,7,3,200,7,3,10,48,13,7,5,21,12,6,2,177
miR-23c,160,84,65,331,519,69,4946,1733,130,168,4087,176,529,43,2735,3241
miR-24-2-5p,96,59,30,96,40,29,195,78,106,64,150,39,72,51,105,183
miR-24-3p,7226,6277,3861,3331,4463,3210,8173,5870,5243,6918,12683,836,6192,3860,6316,6176
miR-2467-3p,148,269,506,1084,143,196,586,573,122,155,762,233,419,93,814,1133
miR-2467-5p,17,6,8,93,164,6,1646,790,23,35,1363,47,166,1,1040,1311
miR-25-3p,254,299,402,388,164,147,175,213,332,266,486,106,259,196,180,119
miR-25-5p,13,7,13,65,7,13,32,68,15,19,34,28,17,3,25,124
miR-2681-3p,4,4,1,35,1,2,8,6,7,2,1,29,4,1,1,48
miR-2681-5p,8,2,5,91,4,5,8,17,15,9,4,33,5,1,6,85
miR-2682-3p,29,26,34,204,14,14,128,81,20,36,115,51,26,13,95,253
miR-2682-5p,4,8,13,61,2,3,10,15,4,2,7,23,5,1,12,95
miR-26a-1-3p,2,4,2,29,4,3,7,11,2,2,1,30,2,3,1,44
miR-26a-2-3p,7,4,0,22,4,3,2,6,10,8,3,29,3,7,1,19
miR-26a-5p,1355,780,857,616,589,396,365,583,1571,1424,496,552,718,877,89,182
miR-26b-3p,5,7,4,44,5,2,13,12,12,7,5,27,7,4,2,57
miR-26b-5p,316,168,127,134,159,87,58,95,291,305,88,112,146,107,18,70
miR-27a-3p,7225,3772,2589,1561,3373,2186,1090,1547,8054,5602,2568,663,5521,4054,789,501
miR-27a-5p,13,17,29,98,31,7,368,171,39,14,268,35,33,13,256,353
miR-27b-3p,2034,882,513,495,1063,427,234,577,1910,1365,549,228,1274,1062,165,219
miR-27b-5p,11,10,11,60,4,2,18,20,13,11,10,35,10,7,5,73
miR-28-5p,219,160,69,127,139,63,93,103,215,198,118,48,202,76,57,124
miR-2861,9169,10633,8216,7701,5982,6428,2774,6357,8566,9357,3776,9659,5535,8743,2658,4325
miR-2909,6,6,8,88,5,4,74,25,11,4,36,33,8,1,27,160
miR-296-3p,21,33,41,133,18,27,33,53,29,22,100,73,14,23,3007,378
miR-296-5p,14,7,43,233,28,13,28,46,14,17,44,46,19,10,42,131
miR-297,26,26,11,185,24,23,109,60,21,21,58,34,24,7,75,249
miR-298,12,13,13,130,109,8,1407,611,23,45,1110,128,128,1,1010,1149
miR-299-3p,56,61,36,371,43,50,55,173,74,83,57,66,59,70,36,462
miR-299-5p,118,124,60,385,85,77,38,159,112,181,59,64,150,113,12,391
miR-29a-3p,10204,7767,3973,2789,5129,4863,1810,2659,9663,11836,4647,815,8930,6086,1337,630
miR-29a-5p,62,55,12,50,60,21,13,12,68,63,33,22,71,26,7,54
miR-29b-1-5p,61,48,36,47,28,38,14,36,123,49,37,50,54,40,6,77
miR-29b-2-5p,12,12,11,76,9,6,14,23,13,10,11,38,10,4,5,107
miR-29b-3p,3167,2947,850,778,1740,2493,655,319,4231,4852,1254,328,3074,3362,207,156
miR-29c-3p,124,93,28,110,85,29,30,23,163,131,55,34,117,49,10,70
miR-29c-5p,5,14,11,113,8,4,15,17,26,15,8,29,5,5,4,55
miR-300,4,4,1,53,10,0,15,10,7,3,4,24,4,1,122,128
miR-301a-3p,125,113,71,31,56,53,24,11,97,100,25,19,91,65,6,54
miR-301a-5p,4,4,4,29,4,5,10,4,11,6,3,19,3,1,2,43
miR-301b,27,26,12,27,18,10,15,12,19,11,6,25,29,10,4,71
miR-302a-3p,11,4,4,43,2,2,10,16,13,4,1,33,8,0,2,65
miR-302a-5p,3,1,0,31,5,1,3,7,11,6,2,23,6,2,1,53
miR-302b-3p,6,2,3,27,8,1,4,7,13,1,2,16,0,3,3,62
miR-302b-5p,3,1,1,43,2,1,9,5,4,2,1,19,2,0,1,48
miR-302c-3p,2,10,6,86,4,2,8,14,18,11,1,30,10,1,2,62
miR-302c-5p,3,5,5,58,3,3,3,10,4,0,2,20,9,1,5,85
miR-302d-3p,9,3,1,35,6,2,5,17,8,1,7,27,7,1,3,49
miR-302d-5p,2,4,2,116,3,2,5,10,7,4,3,25,6,2,6,69
miR-302e,0,1,6,36,5,2,18,14,10,3,3,27,3,1,6,46
miR-302f,5,1,2,27,6,3,9,16,14,0,1,13,10,1,4,46
miR-3064-3p,11,4,95,244,3,10,48,34,10,5,81,32,9,5,12,81
miR-3064-5p,14,16,121,245,5,8,29,57,10,13,34,25,12,3,1,63
miR-30a-3p,66,35,39,198,25,24,24,61,82,34,18,62,56,36,16,75
miR-30a-5p,441,126,163,471,217,61,101,125,521,218,184,88,263,119,127,291
miR-30b-3p,3,8,4,66,5,1,20,34,16,4,9,31,9,2,9,71
miR-30b-5p,432,454,255,140,202,198,83,85,431,351,136,61,387,225,56,93
miR-30c-1-3p,1,2,2,50,2,4,12,19,9,5,3,40,2,2,66,150
miR-30c-2-3p,3,9,4,80,4,3,11,14,6,6,3,16,5,2,10,62
miR-30c-5p,729,292,341,260,395,158,112,226,667,298,146,104,543,267,94,112
miR-30d-3p,5,14,1,56,6,10,7,13,15,5,4,34,15,6,2,76
miR-30d-5p,492,168,198,407,232,109,162,183,488,273,197,104,316,160,170,245
miR-30e-3p,72,24,38,594,39,25,18,102,72,50,16,71,52,29,11,364
miR-30e-5p,171,60,66,266,83,29,88,47,148,94,77,74,90,36,49,213
miR-3115,2,0,1,18,2,0,8,19,6,1,1,21,2,1,0,47
miR-3116,5,1,6,28,5,0,11,12,8,2,4,37,6,4,3,63
miR-3117-5p,2,0,3,32,12,0,30,27,5,4,7,29,13,0,10,74
miR-3118,1,4,6,10,9,3,4,5,6,2,2,12,6,1,0,15
miR-3119,1,1,0,20,4,0,3,5,5,1,1,18,5,0,0,32
miR-3121-5p,1,1,1,19,0,1,0,6,6,0,0,12,4,0,1,15
miR-3122,0,2,5,69,7,4,23,15,4,3,11,27,8,1,351,237
miR-3123,0,0,1,21,2,1,17,24,7,0,6,27,2,0,14,36
miR-3124-3p,387,148,128,456,1859,149,6266,4927,275,641,5135,348,1631,85,4191,6202
miR-3124-5p,98,34,28,315,1204,26,7920,4867,104,344,6816,104,1300,5,5668,6568
miR-3125,10,9,10,65,7,6,58,23,21,10,26,34,6,5,76,115
miR-3126-3p,12,5,15,134,8,4,20,30,14,13,11,50,13,1,9,116
miR-3126-5p,262,178,102,333,451,127,1037,394,201,303,749,176,355,97,580,722
miR-3127-3p,90,45,54,441,133,52,535,289,83,94,415,92,116,26,367,672
miR-3127-5p,5,2,7,33,2,2,14,13,6,4,7,18,5,1,11,60
miR-3128,2,2,3,22,2,2,7,6,5,0,5,17,2,1,4,44
miR-3129-3p,4,2,2,30,4,3,9,8,6,6,3,17,9,2,0,53
miR-3130-3p,14,8,136,119,16,4,65,60,15,11,28,36,28,2,52,120
miR-3131,36,30,71,294,20,31,108,174,33,33,112,73,55,18,251,388
miR-3132,7,13,27,268,14,6,31,63,24,8,27,78,18,13,83,259
miR-3133,0,2,2,19,1,0,5,6,9,3,2,20,3,0,2,33
miR-3134,0,0,3,9,2,1,5,7,8,2,0,6,3,0,0,40
miR-3135a,104,98,48,110,154,77,54,68,99,86,45,85,97,33,32,160
miR-3136-5p,3,0,5,21,4,0,5,8,8,1,2,15,3,0,1,63
miR-3137,10,8,8,222,17,10,19,40,11,13,19,57,22,0,12,168
miR-3138,10,16,25,98,21,10,27,42,13,18,21,87,28,9,75,139
miR-3140-3p,46,27,38,393,39,32,22,235,37,41,13,82,32,20,5,510
miR-3140-5p,54,38,33,410,50,55,39,242,42,47,19,105,31,41,10,472
miR-3141,620,480,352,920,453,719,292,377,375,361,513,747,368,883,5872,1442
miR-3142,3,0,3,84,4,1,87,30,5,0,53,22,3,0,55,143
miR-3143,1,0,5,30,0,1,3,4,2,0,0,25,3,0,1,49
miR-3144-3p,24,17,9,67,47,13,156,93,26,42,114,61,45,3,83,222
miR-3144-5p,3,2,3,16,1,1,7,13,14,3,6,29,1,0,0,63
miR-3145-3p,3,2,1,257,11,3,15,86,8,5,4,41,7,2,2,281
miR-3145-5p,4,3,12,284,14,10,16,117,6,13,10,48,13,4,7,323
miR-3146,4,1,3,24,2,2,4,15,17,3,2,23,1,2,1,45
miR-3147,48,32,33,143,49,43,39,55,30,41,40,80,54,41,1912,687
miR-3148,4,2,3,25,4,0,10,6,10,1,1,19,2,0,6,82
miR-3149,18,2,27,28,2,24,5,13,14,3,0,190,8,0,11,46
miR-3150b-5p,9,8,20,143,7,6,61,38,10,11,29,61,7,4,33,141
miR-3152-3p,21,12,10,145,6,10,8,14,15,12,2,34,8,4,5,59
miR-3152-5p,29,11,15,209,21,11,10,27,18,12,9,38,15,9,4,98
miR-3153,11,13,30,67,13,4,28,48,10,2,26,41,12,4,75,104
miR-3154,57,54,81,240,44,47,149,153,42,42,92,109,41,44,322,259
miR-3155a,77,35,22,101,101,42,157,172,72,93,116,95,86,14,88,210
miR-3155b,261,110,87,278,287,126,575,409,198,284,443,283,236,70,344,499
miR-3156-5p,6,8,3,78,11,5,26,32,8,7,11,37,5,2,11,100
miR-3157-3p,26,12,9,228,13,13,319,131,21,29,184,60,22,13,175,347
miR-3157-5p,896,343,136,551,2347,270,3307,3337,613,1416,3269,483,1858,50,2033,3492
miR-3158-5p,32,39,95,327,18,27,216,155,33,28,163,85,39,15,741,505
miR-3159,8,8,7,62,4,3,11,20,12,7,6,33,6,2,4,57
miR-31-5p,2294,4255,4008,1963,1112,2056,2371,1599,2243,3956,7919,535,2457,2772,3118,552
miR-3161,3,1,10,68,1,2,12,10,10,2,11,29,4,0,6,79
miR-3162-5p,154,88,93,304,140,44,111,309,118,72,143,284,116,14,256,520
miR-3163,2,4,3,13,3,1,10,13,7,1,2,14,3,0,2,35
miR-3164,7,4,1,28,3,0,7,21,12,5,1,24,4,1,1,55
miR-3165,2,8,6,42,4,2,8,7,7,7,7,29,5,0,0,67
miR-3166,19,4,10,110,135,10,1425,688,19,19,1203,47,117,1,976,1074
miR-3167,0,2,2,19,6,5,6,3,11,4,0,21,2,0,3,38
miR-3169,404,87,52,354,5205,70,14724,12996,341,1573,13087,185,4635,12,9464,14291
miR-3170,4,1,3,46,5,2,17,13,8,2,7,30,2,2,4,82
miR-3171,2,0,0,11,1,1,4,5,9,0,0,45,4,0,0,40
miR-3174,1,1,3,34,2,8,12,11,7,2,3,24,5,0,6,81
miR-3175,101,87,75,364,198,86,776,582,103,156,1817,169,168,22,1866,1057
miR-3176,8,7,21,158,6,6,94,179,6,14,72,49,5,3,52,205
miR-3177-3p,67,47,55,198,280,30,558,559,67,150,591,71,244,12,355,678
miR-3177-5p,4,6,4,162,17,2,343,159,14,10,219,42,19,1,246,558
miR-3179,8,10,17,53,13,8,12,13,15,7,5,33,7,2,5,112
miR-3180,42,23,52,205,53,22,638,330,35,61,500,70,69,14,13808,2652
miR-3180-3p,73,46,121,304,72,48,345,258,62,62,325,176,70,29,3666,1155
miR-3182,14,10,10,55,31,2,126,115,13,17,339,31,36,1,605,101
miR-3184-3p,3,6,10,139,8,1,13,26,5,9,4,33,11,3,4,108
miR-3185,23,22,26,284,17,22,172,536,18,16,44,60,23,7,59,257
miR-3186-3p,8,6,3,72,4,1,21,33,7,7,11,29,8,1,25,106
miR-3186-5p,8,6,4,75,13,6,22,16,16,8,16,34,7,6,4,91
miR-3187-3p,9,1,10,97,14,8,228,122,13,9,174,35,27,3,172,253
miR-3187-5p,46,21,33,273,123,25,633,345,44,68,443,63,69,6,490,725
miR-3188,5,0,5,41,12,0,17,14,15,6,7,29,4,0,7,86
miR-3189-3p,4,3,10,53,5,2,28,28,6,5,12,34,7,0,21,92
miR-3189-5p,6,4,13,130,8,6,58,23,9,6,41,23,14,4,26,134
miR-3191-3p,6,7,15,138,13,6,43,56,9,7,28,21,14,5,47,145
miR-3191-5p,13,5,26,86,18,4,31,33,8,7,29,35,13,4,20,107
miR-3192-3p,38,10,13,435,68,10,597,271,18,35,432,64,64,8,361,655
miR-3192-5p,6,4,7,69,6,6,11,21,11,6,3,33,10,3,5,75
miR-3193,6,2,6,44,9,1,20,14,6,2,8,27,5,1,8,83
miR-3197,8157,18562,41286,32452,3444,7579,9874,32043,5904,8244,13991,16157,6945,6406,4147,9213
miR-3198,13,18,18,177,14,16,20,47,16,20,23,51,18,8,40,173
miR-3199,4,4,3,24,4,0,6,8,7,0,5,12,8,0,0,64
miR-3200-5p,14,5,3,84,21,0,42,57,16,19,40,40,22,2,23,129
miR-3201,3,0,2,19,2,1,7,24,10,0,2,16,2,0,2,30
miR-3202,14,15,18,59,19,10,52,62,14,18,51,35,21,5,77,102
miR-320a,617,1071,1880,1240,333,471,766,1295,867,651,678,669,638,729,475,679
miR-320b,528,917,1696,872,250,417,627,1041,688,549,545,556,543,610,370,399
miR-320c,429,747,1240,702,223,334,560,720,593,407,444,399,420,411,302,363
miR-320d,275,462,857,423,132,187,399,399,378,279,289,270,289,298,233,215
miR-320e,176,272,281,549,100,105,302,444,207,149,179,131,195,91,153,728
miR-323a-3p,109,52,87,135,68,42,41,123,131,92,82,63,89,84,45,118
miR-323a-5p,14,23,24,171,29,7,364,261,17,20,258,72,24,16,306,512
miR-323b-3p,22,48,12,99,17,13,8,42,28,52,16,38,22,36,12,89
miR-323b-5p,4,4,8,58,0,0,11,29,8,6,5,34,3,0,3,82
miR-32-3p,4,3,12,20,3,7,8,14,7,1,0,48,5,0,2,44
miR-324-3p,312,278,403,591,1334,181,6595,4438,239,511,5542,204,1266,113,4456,5291
miR-324-5p,154,127,110,142,118,79,141,110,103,152,159,62,141,68,100,216
miR-325,2,2,6,32,2,2,3,9,1,1,2,34,5,0,5,52
miR-32-5p,20,8,5,79,21,4,23,18,22,15,11,29,16,3,13,84
miR-326,85,116,56,577,153,40,312,317,72,103,326,74,140,23,248,789
miR-328-3p,112,213,235,705,83,89,133,203,91,114,91,114,86,104,69,666
miR-329-3p,266,276,181,158,146,148,71,207,313,300,174,79,210,205,86,90
miR-329-5p,9,11,4,27,0,4,7,5,10,7,5,21,8,7,1,35
miR-330-3p,146,60,38,325,263,50,462,425,88,204,397,101,190,27,344,669
miR-330-5p,8,3,12,71,0,3,16,13,11,7,11,33,5,5,9,82
miR-331-3p,135,45,91,169,96,23,399,226,164,96,405,85,99,47,289,402
miR-331-5p,13,3,19,98,8,6,136,46,19,10,94,37,18,7,94,183
miR-335-3p,13,3,6,109,10,9,3,13,10,7,3,31,8,8,0,38
miR-335-5p,817,620,189,332,419,282,47,160,812,808,86,153,396,398,33,135
miR-337-3p,50,16,16,59,32,11,24,46,21,26,15,30,33,8,8,55
miR-337-5p,588,774,227,166,305,345,91,134,623,588,127,92,485,548,47,92
miR-338-3p,4,39,2,57,4,6,7,21,14,8,2,27,11,2,7,91
miR-339-3p,11158,2947,792,2297,38690,2337,38446,62615,8901,24562,44232,3341,32789,100,27980,53101
miR-339-5p,252,226,360,360,250,152,707,394,215,229,736,164,233,111,556,755
miR-33a-3p,59,34,33,109,60,20,41,49,34,51,37,51,43,23,23,106
miR-33a-5p,79,123,62,123,65,44,109,53,82,60,94,45,82,55,65,218
miR-33b-3p,20,20,51,361,179,12,2342,1171,26,51,1847,92,238,17,1683,1914
miR-33b-5p,772,352,256,918,6482,343,24863,15560,603,1660,20983,680,5933,206,15294,19512
miR-340-3p,6,5,2,42,8,4,5,5,15,3,2,24,3,6,2,45
miR-340-5p,10,4,3,26,13,5,7,13,17,8,7,25,9,1,2,38
miR-342-3p,167,248,547,302,137,113,203,328,202,169,312,111,165,137,211,279
miR-342-5p,2,6,3,21,2,1,7,8,8,5,3,18,2,1,2,47
miR-345-3p,16,10,10,165,22,10,107,96,16,9,81,57,20,5,291,318
miR-345-5p,138,97,285,532,134,71,212,477,131,115,262,147,140,31,185,1012
miR-346,31,19,21,311,37,19,230,170,22,27,173,65,38,2,172,397
miR-34a-3p,82,59,55,113,73,33,136,63,121,101,112,48,108,45,62,154
miR-34a-5p,2291,3731,2241,998,1090,1575,1033,384,1760,3593,2780,254,2125,1834,444,369
miR-34b-3p,164,63,54,730,209,94,97,636,76,138,67,138,104,54,28,1240
miR-34b-5p,42,32,17,286,43,28,22,104,42,43,46,34,39,13,8,232
miR-34c-3p,19,12,11,124,12,8,26,27,14,8,15,35,11,3,18,137
miR-34c-5p,77,32,16,456,66,30,52,468,45,46,32,90,62,38,4,848
miR-3605-3p,7,7,7,46,1,5,8,9,7,1,3,27,4,3,1,80
miR-3605-5p,8,10,21,63,8,6,19,22,17,9,12,30,8,3,25,72
miR-3606-3p,1,1,3,29,2,2,5,9,3,2,0,20,3,0,1,48
miR-3606-5p,2,3,2,15,2,1,3,2,7,0,0,25,5,1,0,35
miR-3607-3p,3,4,4,52,9,1,11,9,7,4,3,15,13,2,3,49
miR-3607-5p,31,5,19,31,20,16,11,16,33,26,9,24,12,8,1,73
miR-3609,47,18,84,59,24,18,43,29,24,40,33,45,21,36,10,67
miR-3611,3,1,3,22,3,1,42,14,8,0,15,42,6,0,20,60
miR-3612,3,7,3,43,2,1,10,13,10,5,0,25,5,2,14,59
miR-3613-3p,17,16,21,77,14,6,5,26,12,12,12,39,14,2,4,43
miR-3613-5p,23,14,22,145,24,12,8,33,23,23,4,73,14,20,2,110
miR-361-3p,14,15,28,54,13,4,10,27,43,13,54,30,23,10,16,55
miR-3614-3p,3,6,6,48,1,1,3,12,5,6,4,25,8,4,1,56
miR-3614-5p,8,8,20,101,9,6,19,23,24,5,14,38,14,3,12,96
miR-361-5p,234,104,141,106,130,79,113,69,251,193,144,57,183,79,114,95
miR-3616-3p,5,2,2,36,8,1,36,24,9,2,18,53,4,1,32,114
miR-3616-5p,212,113,71,184,287,110,233,362,200,277,249,242,232,45,135,350
miR-3617-3p,14,12,4,79,13,8,14,17,12,9,13,22,6,2,3,66
miR-3617-5p,1,9,6,23,3,3,12,11,7,5,3,39,7,0,3,72
miR-3618,2,0,2,14,2,3,8,8,9,3,3,13,3,4,2,35
miR-3619-3p,17,11,52,352,33,15,39,362,12,25,15,54,14,2,4,808
miR-3619-5p,73,62,197,773,565,68,3945,2671,54,135,3648,162,621,33,2906,4220
miR-3620-3p,38,26,59,487,49,33,119,184,20,41,109,73,45,21,91,450
miR-362-3p,73,79,31,54,40,43,25,25,98,76,21,36,60,38,14,65
miR-362-5p,49,51,17,52,33,32,21,63,61,42,17,76,59,30,5,78
miR-363-3p,3,11,1,33,5,7,8,10,7,3,4,30,9,6,1,51
miR-363-5p,4,2,1,46,8,7,14,13,9,6,14,24,4,4,3,55
miR-3646,13,1,10,316,26,5,813,315,12,8,596,42,38,0,553,793
miR-3648,176,788,7579,2403,271,252,2903,4488,158,364,2271,1367,356,243,2069,3157
miR-3649,3,3,4,28,1,3,20,5,4,1,7,22,4,1,12,78
miR-3650,0,0,3,19,1,3,18,13,4,0,1,21,0,0,6,57
miR-3652,66,48,73,200,45,98,94,137,59,41,76,261,35,44,106,212
miR-3653,5,3,6,45,3,0,273,55,12,5,141,37,9,0,152,166
miR-3654,46,57,386,181,19,29,170,133,31,35,108,68,36,78,113,141
miR-3655,4,6,18,111,7,1,42,63,9,7,13,54,7,3,19,161
miR-3657,3,0,2,18,0,3,4,2,6,2,1,18,7,0,2,54
miR-3658,4,7,1,43,2,2,21,8,13,3,7,25,5,3,8,50
miR-3659,2,4,4,42,2,1,13,8,7,3,2,19,2,1,8,54
miR-365a-3p,328,102,76,204,247,74,73,141,219,330,102,49,296,57,7,59
miR-365a-5p,28,38,25,92,208,19,516,892,50,78,1070,241,166,50,67386,62168
miR-365b-5p,77,142,301,425,53,72,185,250,36,53,153,173,85,98,419,399
miR-3660,4,4,1,33,7,3,14,15,5,4,4,38,3,1,3,58
miR-3661,19,6,10,187,23,12,34,56,20,15,38,30,19,4,13,152
miR-3662,1,5,5,19,2,16,6,6,5,6,4,46,8,2,0,50
miR-3663-5p,105,298,653,957,54,99,269,874,63,90,113,232,124,190,43,331
miR-3664-5p,0,0,2,53,1,0,21,19,8,2,9,31,11,1,8,92
miR-3666,8,4,6,46,4,5,27,11,13,7,10,40,9,0,9,79
miR-3667-3p,17,6,7,90,9,4,7,21,8,7,4,27,9,11,2,84
miR-3667-5p,23,13,14,125,8,7,16,46,11,13,9,42,13,12,5,152
miR-3668,4,4,2,25,23,2,37,26,8,15,20,47,19,2,23,91
miR-3670,42,22,15,126,53,17,28,70,26,53,32,59,45,7,14,154
miR-3671,1,1,1,24,4,4,6,6,15,2,1,24,4,0,3,54
miR-3672,1,2,3,29,1,0,11,11,6,1,2,25,2,0,0,64
miR-367-3p,1,4,7,46,10,4,30,23,11,0,17,27,9,0,16,103
miR-3674,153,198,124,52,136,133,33,54,164,136,31,56,146,39,20,62
miR-3675-3p,6,4,3,49,9,5,11,9,7,2,5,27,5,6,1,69
miR-3675-5p,4,1,5,24,4,3,6,11,2,1,0,12,8,2,0,40
miR-367-5p,37,7,12,244,923,9,5895,3577,33,181,4436,68,931,1,3609,4999
miR-3677-5p,681,177,73,572,8344,121,21129,21296,619,2882,22432,259,8054,26,15370,22019
miR-3678-3p,17,3,6,70,24,10,18,29,19,17,10,41,23,0,6,117
miR-3679-3p,5,6,2,27,7,4,7,5,9,5,1,7,1,4,0,29
miR-3679-5p,21,16,47,91,14,18,58,75,11,23,54,42,17,12,1255,221
miR-3680-3p,1,1,31,71,1,1,14,13,4,3,4,22,6,0,0,74
miR-3680-5p,2,9,46,51,4,8,35,28,3,7,14,39,6,1,9,79
miR-3681-5p,13,8,17,125,427,6,5034,2845,18,94,3752,55,471,0,3510,3705
miR-3682-3p,5,4,4,51,5,3,18,13,7,2,6,46,9,0,11,97
miR-3682-5p,2,0,1,42,3,2,5,7,8,1,1,25,3,1,0,47
miR-3683,2,0,2,14,2,0,9,3,9,0,0,23,6,1,2,28
miR-3684,6,3,4,46,19,0,44,52,8,11,40,41,14,2,20,153
miR-3685,5,1,2,25,3,0,2,8,7,1,0,22,5,0,1,44
miR-3686,4,0,1,14,0,1,13,6,7,4,5,25,5,0,9,40
miR-3687,2711,10860,77130,41242,3401,12389,15116,20559,3868,6554,10633,10727,6746,8463,6512,8982
miR-3688-5p,20,8,3,39,24,10,48,33,15,20,30,37,20,5,19,89
miR-3689a-3p,6,7,11,42,5,3,3,16,10,6,3,33,2,3,1,69
miR-3689a-5p,3,2,1,30,2,0,4,8,4,1,3,20,3,2,2,69
miR-3689b-3p,6,3,3,26,6,1,9,8,6,4,3,24,2,1,0,70
miR-3689d,281,115,84,406,819,107,4268,2515,179,346,3342,275,794,74,2614,3755
miR-3689f,4,5,5,38,1,4,4,7,4,2,6,15,6,2,3,55
miR-3690,9,17,14,66,9,3,9,20,13,9,10,30,9,1,8,75
miR-3691-3p,8,3,5,74,14,3,23,40,16,15,16,36,16,3,10,100
miR-3691-5p,2,11,11,54,4,4,13,15,13,4,2,26,2,2,40,73
miR-3692-3p,16,7,6,85,40,4,63,45,15,24,52,70,25,0,31,177
miR-3692-5p,4,4,2,106,3,3,50,24,9,7,24,85,6,1,58,166
miR-369-3p,9,4,5,32,12,3,7,3,23,23,10,34,15,4,2,50
miR-369-5p,45,38,25,66,26,17,11,28,74,66,10,29,31,27,2,61
miR-370-3p,271,621,1227,463,156,256,308,378,323,369,378,214,244,320,267,294
miR-370-5p,13,9,8,71,9,5,2,23,13,11,11,36,11,5,8,70
miR-3713,1,6,2,29,1,1,1,4,7,2,2,27,5,0,2,65
miR-3714,898,220,172,773,8728,192,24611,20907,757,2956,21731,370,8309,62,31620,28906
miR-371b-3p,15,3,4,141,12,2,23,40,6,18,16,27,9,0,22,107
miR-371b-5p,9,5,6,239,6,5,22,60,10,9,6,30,5,1,8,156
miR-372-3p,136,78,44,198,150,53,103,152,151,148,139,168,126,58,57,239
miR-372-5p,6,2,2,95,8,4,13,11,9,7,5,30,7,3,4,63
miR-373-3p,6,3,1,25,13,5,20,31,16,6,24,24,11,2,10,88
miR-373-5p,6,4,3,138,8,2,21,16,11,6,4,31,4,2,14,84
miR-374a-3p,4,1,1,37,4,4,5,8,7,6,1,17,1,3,1,29
miR-374b-3p,55,23,31,655,84,22,62,715,38,47,55,82,69,25,20,1387
miR-374b-5p,57,30,50,409,39,36,20,279,82,39,28,57,25,23,4,592
miR-374c-5p,39,21,27,476,72,18,57,512,44,48,47,92,46,6,17,905
miR-375,7,4,5,94,9,1,22,37,5,7,17,24,7,0,11,113
miR-376a-2-5p,11,5,6,50,5,5,14,13,11,8,1,20,11,2,4,45
miR-376a-3p,1410,2562,756,293,755,1328,331,234,1523,2356,588,197,1078,977,154,134
miR-376a-5p,33,40,3,37,26,20,13,10,46,51,9,24,35,21,2,36
miR-376b-3p,404,1090,421,112,155,443,123,79,543,859,281,89,350,622,62,71
miR-376b-5p,13,6,4,52,6,7,8,5,13,2,4,33,2,7,2,33
miR-376c-3p,2641,3047,1961,481,1383,1706,683,385,2993,3809,1097,433,2012,1985,301,170
miR-376c-5p,8,5,3,38,6,3,11,9,8,10,1,22,14,6,3,34
miR-377-3p,912,1366,403,279,739,814,499,419,1147,1224,585,122,922,787,295,499
